city,name,monday,tuesday,wednesday,thursday,friday,saturday,sunday,stars,state,address,is_open,latitude,longitude,wifi,drivethru,restaurantsdelivery,businessacceptscreditcards,restaurantsgoodforgroups,business_id,postal_code,review_count
Brookhaven,Freddy's Frozen Custard & Steakburgers,0:0-0:0,10:30-22:0,10:30-22:0,10:30-22:0,10:30-23:0,10:30-23:0,10:30-22:0,3.5,PA,5051 Edgmont Ave,1,39.879183,-75.396768,NA,True,True,NA,NA,QZLOM3T6xl7y1Q6zqoqHWg,19015,26
St. Louis,McDonald's,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,1.5,MO,1119 N Tucker,1,38.6369079537,-90.1954829934,'free',True,True,True,True,9qxMhGWjGsuPUoQB3Y74Wg,63101,62
Philadelphia,Chick-fil-A,0:0-0:0,10:30-18:0,6:30-22:0,6:30-22:0,6:30-22:0,6:30-20:0,NA,4,PA,9711 Roosevelt Blvd,1,40.08178,-75.0267907,u'free',True,True,True,True,TGfPJHImEq6AQL9a1laxlg,19114,80
Philadelphia,Checkers,10:0-4:0,10:0-4:0,10:0-4:0,10:0-5:0,10:0-6:0,10:0-6:0,10:0-4:0,2,PA,1208 N. Broad,1,39.9719414,-75.159771,u'no',True,True,True,True,CPgWuWGZ4v2sZr5_-1kluw,19121,21
Philadelphia,KFC,10:30-23:0,10:30-23:0,10:30-23:0,10:30-23:0,10:30-0:0,10:30-0:0,10:30-22:0,2,PA,716 Adams Ave,1,40.031578,-75.104787,'free',True,True,True,False,yFqq66GxRjnhZXPgjA6hnw,19124,7
Brandon,McDonald's,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,2,FL,11110 Causeway Blvd,1,27.925332,-82.325395,NA,True,True,True,True,A1lAqN3SOaBLoo6NqVcy4Q,33511,6
Philadelphia,McDonald's,5:30-0:0,5:30-0:0,5:30-0:0,5:30-0:0,5:30-1:0,5:30-1:0,7:0-23:0,1.5,PA,501 Franklin Mill Cir,1,40.0884161,-74.9650112,NA,True,True,True,True,kLSEk3qXY1KdtFjxHJ9pww,19154,20
Jennings,White Castle,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,2,MO,5231 Jennings Station Rd,1,38.7061191433,-90.2701565031,NA,NA,True,NA,NA,aSJdDcspNCf-2oNF2E6SJQ,63136,6
Voorhees,Jersey Mike's Subs,0:0-0:0,10:0-18:0,10:0-21:0,10:0-18:0,10:0-18:0,10:0-21:0,10:0-21:0,4,NJ,910 Haddonfield-Berlin Rd,1,39.848349,-74.97713,'free',False,True,True,False,KsDY9IYqvumohkp74w5i6A,08043,21
Tampa,Hardee's,5:0-21:0,5:0-21:0,5:0-21:0,5:0-21:0,5:0-22:0,5:0-22:0,6:0-21:0,2.5,FL,4116 W Hillsborough Ave,0,27.9955205,-82.512474,'no',NA,False,True,True,_-SSObHzljeA11HAF0lIrQ,33614,27
Fishers,McDonald's,5:0-0:0,5:0-0:0,5:0-0:0,5:0-0:0,5:0-0:0,5:0-0:0,5:0-0:0,2,IN,8907 E 116th St,1,39.9575816,-86.0106627,u'free',True,True,True,True,wcpL6sD6jKsBO0tbdK2KEA,46038,34
Ambler,Candida's Pizza,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-23:0,11:0-23:0,12:0-22:0,2.5,PA,35 E Butler Ave,0,40.154294,-75.2229125,u'free',NA,True,True,True,ZfWVso8VlT0VN14rxVHccQ,19002,22
Sparks,Del Taco,8:0-23:0,8:0-23:0,8:0-23:0,8:0-23:0,8:0-12:0,8:0-12:0,8:0-23:0,1.5,NV,252 Los Altos Pkwy,1,39.5836527,-119.740935,'no',True,True,True,True,YhQAQhG1IkXJH7oLZMbM9w,89431,60
New Orleans,Taco Del Mar,7:0-16:0,7:0-16:0,7:0-16:0,7:0-16:0,7:0-16:0,NA,NA,2,LA,"1515-Poydras St, Ste 160",1,29.9522480802,-90.0782639989,NA,NA,True,True,True,du_yelFmWOZDEyIAE-jdsQ,70112,9
Goleta,Pieology Pizzeria,0:0-0:0,10:0-20:0,10:0-20:0,10:0-20:0,10:0-22:0,10:0-22:0,10:0-20:0,3.5,CA,"7000 Hollister Ave, Ste F",0,34.4304533,-119.8723449,u'no',NA,True,True,True,vLT1KtrA9bWvjFOg-0xVIg,93117,131
Creve Coeur,Noodles & Company,10:30-21:0,10:30-21:0,10:30-21:0,10:30-21:0,10:30-22:0,10:30-22:0,10:30-21:0,3.5,MO,10925 Olive Blvd,1,38.6735532,-90.4204985,'free',NA,True,True,True,8P7YOM9ThhTvLqXfSWRcRA,63141,65
Sherwood Park,Five Guys,0:0-0:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-16:0,11:0-22:0,11:0-19:0,4,AB,"993 Fir Street, Unit 60",1,53.5126210396,-113.3219998596,u'no',False,True,NA,True,Nolwnmtnt5QeDGlS0bsCGQ,T8A 4N5,37
Boise,Quiznos,NA,NA,NA,NA,NA,NA,NA,3.5,ID,8665 W Franklin Rd,0,43.6048735,-116.2900126,u'free',NA,False,True,True,25ZRypSbZUHrPe6PFYQ2sw,83709,5
Tucson,Chick-fil-A,0:0-0:0,10:0-17:0,10:0-17:0,10:0-17:0,6:30-22:0,6:30-22:0,NA,3,AZ,"1303 E University Blvd, Ste 149",1,32.2324455,-110.9516985,u'free',True,False,True,NA,2vAqYNN86VWXZiy2E96-TQ,85719,13
Wayne,Subway,NA,NA,NA,NA,NA,NA,NA,1.5,PA,383 W Lancaster Ave,0,40.0442635,-75.3993543,NA,NA,NA,NA,NA,vuL3QCjFZ7lU5LMdUAmZ9Q,19087,5
Nashville,Popeyes Louisiana Kitchen,NA,NA,NA,NA,NA,NA,NA,1,TN,443 Opry Mills Dr,1,36.202427,-86.692898,NA,NA,None,NA,NA,g7GCbnZC_HKO0ybNt7NXBw,37214,6
Tucson,Wendy's,10:0-23:0,10:0-23:0,10:0-23:0,10:0-23:0,10:0-0:0,10:0-0:0,10:0-23:0,2.5,AZ,3535 E. Irvington Road,1,32.1637404,-110.9167218,u'no',NA,True,True,True,iNMdSi5bmvGSGeRQiUW4dw,85714,14
Edmonton,BarBurrito - South Edmonton,NA,NA,NA,NA,NA,NA,NA,3.5,AB,2213 98th St NW,1,53.4531516,-113.48298,NA,NA,True,NA,NA,Ojd913yxClnEwQSthSd8XQ,T6N 1K7,8
Tampa,Taco Bell,7:0-2:0,7:0-2:0,7:0-2:0,7:0-2:0,7:0-3:0,7:0-3:0,7:0-2:0,2.5,FL,4647 West Kennedy Blvd,1,27.944918,-82.523213,'no',True,True,True,True,H2nFgEFitRk7ltE8IRH0xA,33609,42
Tucson,Jack in the Box,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,2,AZ,1202 W St Marys Rd,1,32.2298503,-110.9900599,NA,True,False,True,True,wgcSbX3osqRibWW7pVyfww,85745,13
Tucson,Taco Bell,7:0-2:0,7:0-2:0,7:0-2:0,7:0-2:0,7:0-2:0,7:0-2:0,7:0-2:0,2.5,AZ,8578 East Broadway Blvd,1,32.220539,-110.809269,u'free',True,True,True,True,i8UZblHPk2O-iNKJrnWQ_Q,85710,26
Meridian,Jon Smith Subs,0:0-0:0,10:30-20:0,10:30-20:0,10:30-20:0,11:0-16:0,11:0-16:0,11:0-16:0,3.5,ID,"150 STen Mile Rd, Ste 140",1,43.6033767164,-116.4330922049,NA,False,True,True,NA,2quqM0ajKfTC_DV8sLAvxQ,83642,39
Tucson,Whataburger,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-18:0,0:0-0:0,6:0-0:0,2.5,AZ,1430 W River Rd,1,32.2979232056,-110.9969272166,'no',True,True,True,True,IXv-g1iK3Hwsnxp0vT8OgA,85704,71
Media,Spasso Italian Grill,11:30-22:0,11:30-22:0,11:30-22:0,11:30-22:0,11:30-23:0,15:0-23:0,10:0-21:0,3.5,PA,1 W State St,1,39.9182380676,-75.3896167572,u'no',False,True,True,True,QkyEr9j7il9lJqseTbPe5w,19063,192
St Albert,A&W,6:0-22:0,6:0-22:0,6:0-22:0,6:0-22:0,6:0-22:0,6:0-22:0,6:0-22:0,3,AB,"Gateway Village, 2 Hebert Road",1,53.6224138,-113.6075804,NA,NA,False,NA,True,Nemb9iLSuFgHsU6Rv8Y1Tg,T8N 5T8,8
Nashville,Panda Express,11:0-19:0,11:0-19:0,11:0-19:0,11:0-19:0,11:0-19:0,11:0-19:0,12:0-18:0,3,TN,455 Opry Mills Dr,1,36.2027284902,-86.6944885254,u'no',True,True,True,True,8SqvtaRu9likNDAfAU-HBQ,37214,15
Nashville,Burger King,6:0-23:0,6:0-23:0,6:0-23:0,6:0-23:0,6:0-20:0,10:30-23:0,6:0-23:0,1.5,TN,363 Harding Pl,1,36.0842766668,-86.7042401,'free',NA,True,True,True,diqXZ9CBFlIHW7i9UHefhw,37211,9
Lansdale,Wendy's,6:30-0:0,6:30-0:0,6:30-0:0,6:30-0:0,6:30-0:0,6:30-0:0,6:30-0:0,2,PA,1758 Allentown Road,1,40.2590433156,-75.325845754,NA,NA,True,True,True,0HgAYe8KZ_8nHyELHFwrpA,19446,13
Indianapolis,Firehouse Subs,10:30-21:0,10:30-21:0,10:30-21:0,10:30-21:0,10:30-21:0,10:30-21:0,10:30-21:0,3,IN,5963 E 82nd St,0,39.90473,-86.06554,u'no',False,True,True,True,Vj_72qKqpL10ECZfbHDyBw,46250,16
Tampa,YO! Sushi,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-18:0,4,FL,"International Plz, 2223 N Westshore Blvd",0,27.964536,-82.520756,'free',False,True,True,True,v8IbZ6wcvdyGqWpbDKDvfA,33607,121
Santa Barbara,Subway,8:0-22:0,8:0-22:0,8:0-22:0,8:0-22:0,8:0-22:0,10:0-22:0,10:0-22:0,3,CA,"1936 State St, Ste B",0,34.430822,-119.714156,NA,NA,False,True,True,Hqz96v1ymucUKNzIWfEKXw,93101,5
Nashville,Captain D's,0:0-0:0,10:30-21:0,10:30-21:0,10:30-21:0,10:30-18:0,10:30-21:0,10:30-21:0,3.5,TN,2633 Lebanon Pike,1,36.16937,-86.67255,u'no',NA,True,True,True,J7Oo9rhwX7O3ak54pu_Mhg,37214,14
Edmonton,Shanghai 360,10:0-18:0,10:0-18:0,10:0-18:0,10:0-20:0,10:0-20:0,10:0-18:0,12:0-17:0,2.5,AB,"10025 102A Avenue NW, 3rd Floor",0,53.543873791,-113.4928506434,NA,NA,False,NA,False,kB_937pEPUD5iwVY12SCbg,T5J,6
Philadelphia,Crown Fried Chicken,10:0-3:0,10:0-3:0,10:0-3:0,10:0-3:0,10:0-3:0,10:0-4:0,10:0-4:0,3.5,PA,933 N Broad St,1,39.971145,-75.15902,NA,NA,True,True,True,aurl4I40YVQfQ8loOdgKCg,19123,11
Sherwood Park,Fresh Healthy Cafe,7:0-20:0,7:0-20:0,7:0-20:0,7:0-20:0,7:0-20:0,10:0-16:0,10:0-16:0,3.5,AB,4005 Clover Bar Road,1,53.5568884242,-113.2741134955,NA,NA,False,NA,True,iapJoe3OzxeZqOGUJxnG3w,T8H 0M4,8
Kenner,Pizza Hut,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-23:0,11:0-23:0,11:0-22:0,2,LA,317 W Esplanade Ave,1,30.0226540534,-90.2691832749,u'no',NA,True,True,False,UJE-f8gVEB2za5QPZd_wVw,70065,16
Springfield,Captain D's,0:0-0:0,10:45-22:0,10:45-22:0,10:45-22:0,10:45-18:0,10:45-22:0,10:45-22:0,2,TN,2123 Memorial Blvd,1,36.4922337558,-86.875317026,u'no',NA,True,True,True,3GGGwkQ8A0ICQTfwTKPiQw,37172,10
Metairie,Burger King,5:30-1:0,5:30-1:0,5:30-1:0,5:30-1:0,5:30-22:0,11:0-1:0,6:0-0:0,1.5,LA,916 Veterans Memorial Blvd,1,30.0010945472,-90.1325079767,u'no',NA,True,True,True,AjEg3RzLzQwv4xPPzTc6wQ,70005,23
Tampa,Zaxby's Chicken Fingers & Buffalo Wings,10:30-22:0,10:30-22:0,10:30-22:0,10:30-22:0,10:30-23:0,10:30-23:0,11:0-22:0,3,FL,11619 W Hillsborough Ave,1,28.0146920537,-82.6140054742,'free',True,True,True,True,j5U5O3scMvPe67jzJcWFug,33635,37
Reno,El Pollo Loco,0:0-0:0,10:0-22:0,10:0-22:0,10:0-22:0,10:0-22:0,11:0-20:0,10:0-22:0,3,NV,8030 S Virginia St,1,39.4555489488,-119.7781964498,u'no',True,True,True,True,RCguFZat10TcbDMeeeM3IQ,89511,73
Reno,Pizza Hut,10:0-22:0,10:0-22:0,10:0-22:0,10:0-22:0,10:0-23:0,10:0-23:0,10:0-22:0,2,NV,202 Lemmon Dr,1,39.6132777,-119.8478089,'no',NA,True,True,True,XsjesLpDVSToQIxSeON70A,89506,48
Tampa,Subway,9:0-18:0,9:0-23:30,9:0-23:30,9:0-23:30,9:0-23:30,9:0-23:30,10:0-23:30,3,FL,19410 N Bruce B Downs Blvd,1,28.15011,-82.3539970377,'free',False,True,True,True,gi90NMmRhzl8vzM83UNOVA,33647,14
Nashville,Subway,NA,NA,NA,NA,NA,NA,NA,1.5,TN,99 White Bridge Rd,0,36.1316071,-86.8581153,u'no',NA,False,True,False,qZIiURCjON7QcTzNtG9JpQ,37205,8
Indianapolis,Auntie Anne's,11:0-19:0,11:0-19:0,11:0-19:0,11:0-19:0,11:0-19:0,11:0-19:0,12:0-18:0,3,IN,"6020 E 82nd St, Spc 138A",1,39.908954,-86.065503,NA,NA,True,True,NA,1X0ZCiRUWkVsdINtZmRSiw,46250,7
Tampa,Zeko's Mediterranean Grill,10:0-4:0,10:0-4:0,10:0-4:0,10:0-4:0,10:0-4:0,10:0-4:0,10:0-4:0,4.5,FL,3609 E Busch Blvd,1,28.0322261,-82.4189253,'free',True,True,True,True,I1h0GRYp86eX-XqwVXsSGA,33612,345
Sparks,Wendy's,7:0-0:0,7:0-0:0,7:0-0:0,7:0-0:0,7:0-1:0,7:0-1:0,7:0-0:0,2.5,NV,440 N Mccarran Blvd,1,39.5380547,-119.734624,u'no',True,True,True,True,ruFtZKwlJASx5BTk1dh5AQ,89431,35
Philadelphia,McDonald's,6:0-0:0,6:0-0:0,6:0-0:0,6:0-0:0,6:0-1:0,6:0-1:0,6:0-0:0,2,PA,914 S Broad St,0,39.9394402,-75.1668049,'free',True,True,True,False,kgMEBZG6rjkGeFzPaIM4MQ,19146,55
Indianapolis,Rally's,10:0-1:0,10:0-1:0,10:0-1:0,10:0-1:0,10:0-2:0,10:0-2:0,10:0-1:0,1,IN,5235 E. Southport Rd.,0,39.6657537565,-86.0787451367,'no',NA,False,NA,False,69y8BIrahfo6I_5AkIYf-g,46237,9
Tampa,Burger King,5:0-0:0,5:0-0:0,5:0-0:0,5:0-0:0,0:0-0:0,0:0-0:0,5:0-0:0,2,FL,4403 W Gandy Blvd,1,27.8937618,-82.5193236,NA,NA,True,True,NA,J8j18KB--ZH4MjTQryPEpA,33611,11
Sun City Center,McDonald's,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,2,FL,3110 Sr 674,1,27.7137051861,-82.3929427564,'free',True,True,True,True,cwvpVlg5BE2XXRWTHe3p9w,33570,24
Sherwood Park,A&W,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,3,AB,222 Baseline Road,1,53.5415746113,-113.3188727252,NA,NA,True,NA,True,h3801KOXLyOt8BAMa1V5HQ,T8H 1S8,8
Indianapolis,Hardee's,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,2.5,IN,4401 E 10th St,1,39.781017,-86.09366,u'no',True,True,True,False,rKwIFN1poV6gHBIxp3FxkA,46201,6
Tucson,Little Caesars Pizza,10:30-23:0,10:30-23:0,10:30-23:0,10:30-23:0,10:30-0:0,10:30-0:0,10:30-23:0,2,AZ,1625 W Valencia Suite 111,1,32.1322587,-110.9993545,NA,NA,True,True,False,J1duow_JpO47UuqnrY_LaA,85746,10
Franklin,McDonald's,4:0-23:0,4:0-23:0,4:0-23:0,4:0-23:0,4:0-0:0,4:0-0:0,4:0-23:0,2.5,TN,653 Frazier Dr,1,35.9453792141,-86.8237428367,'free',True,True,True,True,N7wYxm84QtcqTJZfGWpxzw,37067,24
Reno,Subway,8:0-21:0,8:0-21:0,8:0-21:0,8:0-21:0,8:0-21:0,10:0-20:0,10:0-20:0,2,NV,"400 W 5th St, Ste 105",0,39.5302163,-119.8199067,u'no',NA,False,True,False,xxxL7I3hGCEymNlYLXUyBA,89503,5
Tucson,Subway,0:0-0:0,NA,9:0-20:0,NA,NA,NA,NA,3.5,AZ,"7555 N La Cholla Blvd, Ste 145, Foothills Mall",1,32.3435651,-111.0132429,NA,NA,True,True,True,S3WazoxfO3euuvQUOJRlFA,85741,6
Florissant,McDonald's,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,1.5,MO,3165 N Hwy 67,1,38.8107873585,-90.2969466057,u'free',True,True,True,True,aqubLw9IW03svL_uDXNJ8A,63033,11
Metairie,Pizza Hut,10:30-21:0,10:30-21:0,10:30-21:0,10:30-21:0,10:30-21:0,10:30-21:0,10:30-21:0,2.5,LA,2312 David Dr,1,29.9973903816,-90.2184122801,'no',NA,True,True,True,CILklubZslDuVUMh2c55_A,70003,17
St Louis,QuikTrip,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,4.5,MO,3475 Lemay Ferry rd,1,38.5119857,-90.3191137,NA,NA,False,True,NA,44FugwIywDjD6TwSESAmkw,63125,5
Woodstown,McDonald's,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,1.5,NJ,400 West Ave,1,39.6470143366,-75.3344234117,u'free',True,True,True,False,NyV_2EGhs-YHYYVmZRYmOQ,08098,14
Belleville,Wendy's,10:0-0:0,10:0-0:0,10:0-0:0,10:0-0:0,10:0-0:0,10:0-0:0,10:0-0:0,2,IL,5959 Belleville Crossing St,1,38.5293592,-90.0356064,NA,NA,True,True,True,q3AbKPlzrqbUh8tz26vsdQ,62226,7
Port Richey,Steak ’n Shake,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,2.5,FL,9116 US Highway 19 N,1,28.2899929559,-82.711233436,u'free',True,True,True,True,sVWUxesVKseXGq78UwwajA,34668,45
Belleville,McDonald's,5:0-0:0,5:0-0:0,5:0-0:0,5:0-0:0,5:0-0:0,5:0-0:0,5:0-0:0,1.5,IL,7301 Westfield Plz,0,38.544739774,-90.0519396365,u'free',True,True,True,NA,Jn5nZ0b-cdBS2xHnF4msug,62223,12
Indianapolis,Arby's,NA,NA,NA,NA,NA,NA,NA,3.5,IN,3846 Lafayette Rd,1,39.8255452,-86.2371468,NA,True,True,True,True,PVqNBGihp6yNv6HTQf7CjA,46254,10
Willow Grove,Burger King,6:0-0:0,6:0-23:0,6:0-0:0,6:0-0:0,6:0-22:0,6:0-0:0,6:0-22:0,2,PA,106 York Rd,1,40.1432439,-75.115404,'free',NA,True,True,True,73ZQXm26Mb4Pr-ibmeGk6Q,19090,15
Largo,Wendy's,9:0-1:0,9:0-1:0,9:0-1:0,9:0-1:0,9:0-1:0,9:0-1:0,9:0-1:0,2,FL,11760 Oakhurst Road,1,27.8790638,-82.8327419,'free',NA,True,True,True,1lC4dy6jlB2tBdBWbocO7Q,33774,22
New Orleans,Rally's,10:0-4:0,10:0-4:0,10:0-4:0,10:0-5:0,10:0-6:0,10:0-6:0,10:0-4:0,1.5,LA,2201 S. Claiborne Ave.,1,29.9452593,-90.0906756,u'no',NA,True,True,False,qejPFPUKiIXvHJ4BirgLUw,70125,13
Cahokia,Taco Bell,10:0-22:0,10:0-22:0,10:0-22:0,10:0-22:0,10:0-22:0,10:0-22:0,10:0-22:0,1.5,IL,1616 Camp Jackson Road,1,38.5532348,-90.1661599,u'free',True,True,True,True,YWcH3SLyRIBHIBBgudqZLw,62206,8
Reno,Panda Express,10:30-21:30,10:30-21:30,10:30-21:30,10:30-21:30,10:30-21:30,10:30-21:30,10:30-21:30,2.5,NV,5140 Kietzke Lane Suite E,1,39.4749646908,-119.7922227358,'no',False,True,True,True,UKA2eeAZmO4ACB2J0kFISw,89509,86
Belleville,Super Gyros,10:0-21:0,10:0-21:0,10:0-21:0,10:0-21:0,10:0-22:0,10:0-22:0,NA,4.5,IL,766 Carlyle Ave,1,38.5170210269,-89.9513851956,'no',True,True,True,True,bQKqeYwaHNal7JFAXzCMFg,62221,79
Indianapolis,Jimmy John's,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,3.5,IN,"6260 Intech Commons Rd, Ste C",1,39.880535,-86.271365,u'no',True,True,True,True,sNDXKUS14_xXdD0fJdw23g,46278,14
Reno,Quiznos,10:0-21:0,10:0-21:0,10:0-21:0,10:0-21:0,10:0-21:0,10:0-21:0,11:0-20:0,3.5,NV,"2905 Northtowne Ln, Ste 120",1,39.5571203,-119.7826597,u'no',False,True,True,False,z3MQ4dmYICABaayF66NV3A,89512,32
Indianapolis,Hardee's,5:0-23:0,5:0-23:0,5:0-23:0,5:0-23:0,5:0-23:0,6:0-23:0,6:0-22:0,2,IN,8015 S Meridian St,1,39.6507829,-86.1578281,NA,True,True,True,True,LPWkWjR-K21nikUxQtQNtg,46217,11
Belleville,McDonald's,5:0-0:0,5:0-0:0,5:0-0:0,5:0-0:0,5:0-1:0,5:0-1:0,5:0-0:0,1.5,IL,906 Carlyle Ave,1,38.5175290922,-89.9490435503,u'free',True,True,True,True,3bmrxhqVpB5XCg-4j6y39A,62221,19
Edmonton,Nam Kitchen Express,11:0-21:0,11:0-21:0,11:0-15:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-20:0,4,AB,9316 - 137 Avenue NW,1,53.6001157,-113.4858681,'no',NA,True,NA,False,QMaXUlBsA0SLiYZOzDAjVQ,T5E 6C1,13
Saint Petersburg,Dooners,11:30-15:0,11:30-15:0,11:30-15:0,11:30-20:0,11:30-3:30,11:30-3:30,12:0-20:0,3.5,FL,21 3rd St N,0,27.7718011011,-82.6369077739,u'free',NA,True,True,True,1_hDCN3iioFR3XnUr32ZtA,33701,109
